Day,Temperature,Ad_male
0,17.24,0.0
1,18.65,
2,18.06,
3,18.36,
4,14.78,
5,11.32,
6,14.05,
7,16.21,0.00033517150575714324
8,17.59,
9,19.14,
10,18.82,
11,18.5,
12,19.24,
13,18.86,
14,20.56,0.011975940880207201
15,21.3,
16,22.42,
17,22.1,
18,22.12,
19,24.02,
20,22.64,
21,22.06,0.11249974213575073
22,21.79,
23,22.09,
24,23.09,
25,22.3,
26,20.54,
27,21.53,
28,22.2,0.34591955238250954
29,19.92,
30,21.27,
31,22.76,
32,23.8,
33,23.07,
34,20.11,
35,19.75,0.6764455905987092
36,20.94,
37,21.97,
38,22.62,
39,23.53,
40,25.93,
41,24.89,
42,23.25,1.0953288065135416
43,23.34,
44,21.72,
45,21.41,
46,18.63,
47,21.22,
48,21.29,
49,22.67,1.4565481564012548
50,22.69,
51,24.68,
52,24.58,
53,24.72,
54,25.34,
55,25.37,
56,26.04,2.248202283509397
57,24.7,
58,24.64,
59,25.8,
60,26.9,
61,24.98,
62,24.03,
63,24.44,3.3409037268807973
64,25.37,
65,27.04,
66,26.66,
67,24.14,
68,24.52,
69,25.89,
70,24.96,4.753926765191952
71,25.05,
72,25.26,
73,25.69,
74,24.33,
75,26.81,
76,27.39,
77,25.47,6.539989042425911
78,25.11,
79,25.95,
80,27.5,
81,28.08,
82,29.13,
83,29,
84,26.78,7.91697736465192
85,23.72,
86,24.48,
87,25.74,
88,26.19,
89,25.25,
90,24.1,
91,25.82,9.933552300976695
92,27.36,
93,27.22,
94,26.26,
95,26.13,
96,22.18,
97,20.74,
98,21.94,11.785068419288745
99,23.67,
100,23.53,
101,23,
102,22.32,
103,23.18,
104,23.99,
105,24.9,15.662123477470015
106,24.53,
107,24.17,
108,22.16,
109,21.37,
110,21.63,
111,22.97,
112,23.35,21.860733112261553
113,22.99,
114,21.49,
115,19.68,
116,20.21,
117,21.27,
118,22,
119,22.1,29.524025857534113
120,21.3,
121,22.47,
122,23.38,
123,23.25,
124,23.19,
125,23.17,
126,20.63,45.14156570631579
127,23.19,
128,22.77,
129,22.9,
130,22.72,
131,22.7,
132,22.54,
133,21.93,67.12212043337452
134,22.42,
135,22.9,
136,22.45,
137,23.55,
138,19.72,
139,16.74,
140,16.85,90.62566910043061
141,17,
142,18.8,
143,18.73,
144,18.36,
145,18.3,
146,20.76,
147,22.18,98.75179239175279
148,21.13,
149,17.43,
150,17.79,
151,18.71,
152,18.42,
153,18.43,
154,17.55,115.33058484091565
155,19.55,
156,17.01,
157,16.45,
158,17.76,
159,18.99,
160,19.26,
161,19.17,124.29678735500686
162,18.53,
163,17.69,
164,15.5,
165,14.78,
166,16.73,
167,14.26,
168,15.53,123.08278533361378
169,16.28,
170,19.54,
171,19.78,
172,19.4,
173,13.09,
174,15.02,
175,17.55,127.21812890943373
176,16,
177,17.44,
178,15.65,
179,14.15,
180,14.28,
181,13.65,
182,12.96,118.73876885147257
183,12.25,
184,12.42,
185,12.05,
186,12.27,
187,11.54,
188,9.43,
189,10.85,102.67055490130042
190,12.66,
191,10.89,
192,9.71,
193,7.03,
194,14.43,
195,13.15,
196,12.72,91.32432704016871
197,11.9,
198,15.29,
199,13.29,
200,11.61,
201,9.78,
202,9.23,
203,8.01,81.77517993877912
204,8.88,
205,10.5,
206,8.51,
207,13.12,
208,13.99,
209,11.42,
210,10.01,73.25016024724063
211,9.71,
212,11.75,
213,9.35,
214,8.34,
215,4.43,
216,3.98,
217,6.15,65.74116876857931
218,5.8,
219,5.94,
220,4.04,
221,7.83,
222,6.72,
223,3.91,
224,9.36,60.16532408804551
225,8.47,
226,12.42,
227,10.81,
228,10.25,
229,9.71,
230,4.41,
231,3.77,54.88976630938058
232,4.8,
233,4.14,
234,3.73,
235,6.57,52.84149407223255
